"group_heb","unit_heb","year","subunit_heb","habitat_heb","factor_heb","proximity_heb","site_heb","lon","lat","species_heb","count"
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"בולבול ממושקף",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"דרור הבית",52
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"יונת בית",17
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"ירקון",18
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"עורב אפור",1
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"עפרוני מצויץ",5
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"צופית בוהקת",3
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"צוצלת",6
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"שחרור",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.80263,31.36585,"תור צווארון",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"בולבול ממושקף",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"דוכיפת",1
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"דרור הבית",6
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"יונת בית",9
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"ירקון",5
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"מיינה מצויה",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"עורב אפור",4
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"פשוש",3
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"צופית בוהקת",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"צוצלת",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"שחרור",2
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","להבים",34.81257,31.36436,"תור צווארון",3
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"בולבול ממושקף",3
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"בז מצוי",1
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"דוכיפת",1
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"דרור הבית",5
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"ירגזי מצוי",1
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"עורב אפור",5
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"עפרוני מצויץ",8
"עופות","אזור הספר הים תיכוני",2012,NA,NA,"יישובים","קרוב","דביר",34.8203,31.41109,"פשוש",1
